"id";"Grischun_Display";"Grischun_Search";"Sursilvan_Display";"Sursilvan_Search";"Sutsilvan_Display";"Sutsilvan_Search";"Surmiran_Display";"Surmiran_Search";"Puter_Display";"Puter_Search";"Vallader_Display";"Vallader_Search";"German_Display";"German_Search";"French_Display";"French_Search";"Italian_Display";"Italian_Search";"English_Display";"English_Search";"Conjugation";"Lexical_Class_D";"Lexical_Class_R";"Source_Table_Name";"Source_Table_Row_ID"
1;"in
(f: ina, in')";"ina, 1";"in, ina";"ina,1";"egn,egna, egn'";"egna";"en, ena";"ena";"ün, üna";"üna";"ün, üna";"üna";"ein, eine, eins, einer";"ein, eine, eins, einer, einem";"un, une";"un, une";"un, uno (f:una, un')";"un, una, un', uno, 1";"a, an";"a, an";"";"Artikel";"artitgel";"meinpledari";2
2;"e, ed";"ed";"e, ed";"ed";"a, ad";"ad";"e, ed";"ed";"e, ed";"ed";"e, ed";"ed";"und";"und";"et";"et";"e, ed";"e, ed";"and";"and";"";"Konjunktion";"conjuncziun";"meinpledari";3
3;"u, ubain";"u, ubain";"ni, u";"ni, u";"near, neader, ne, u";"near, neader, ne, u";"u, ni";"u, ni";"u (cha), ubain";"u, ubain";"o, obain";"o, obain";"oder, oder aber";"oder, oder aber";"ou";"ou";"o, oppure";"o, oppure";"or";"or";"";"Konjunktion";"conjuncziun";"meinpledari";4
4;"gea";"gea";"gie";"gie";"gea, ea";"gea, ea";"ea, gea";"ea, gea";"schi, hei";"schi, hei, hai";"schi, hai (hei)";"schi, hai, hei";"ja";"ja";"oui";"oui";"sì";"sì";"yes";"yes, yeh, yeah";"";"Adverb";"adverb";"meinpledari";5
5;"na";"na";"na";"na";"na";"na";"na";"na";"na";"na";"na";"na";"nein";"nein";"non";"non";"no";"no";"no";"no";"";"Adverb";"adverb";"meinpledari";6
6;"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"um";"um";"à";"à";"a";"a";"at";"at";"";"Präposition";"preposiziun";"meinpledari";7
7;"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"zu, nach";"zu, nach";"à";"à";"a, ad";"a, ad";"to";"to";"";"Präposition";"preposiziun";"meinpledari";8
8;"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"an";"an";"à";"à";"a, ad";"a, ad";"to";"to";"";"Präposition";"preposiziun";"meinpledari";9
9;"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"a, ad";"ad";"zu, nach";"zu, nach";"à";"à";"a, ad";"a, ad";"on";"on";"";"Präposition";"preposiziun";"meinpledari";8
10;"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"a(d)";"ad";"an";"an";"à";"à";"a, ad";"a, ad";"on";"on";"";"Präposition";"preposiziun";"meinpledari";9
